feature,importance
quote_asset_volume,0.055240672
large_trade_volume,0.051594198
atr_14,0.050884336
sell_vol,0.0481512
low,0.04660804
close,0.046469633
buy_vol,0.0464024
vwap,0.044684052
vwap_dist,0.04453378
taker_buy_quote_asset_volume,0.04429932
high,0.042542234
number_of_trades,0.041811112
vpin,0.04110267
total_trades,0.040717803
trade_intensity,0.040711768
volume,0.04051658
aggressive_bursts,0.039948087
taker_buy_base_asset_volume,0.03985779
imbalance,0.03958503
rsi_14,0.039189614
taker_buy_ratio,0.039001733
volume_delta,0.03871857
open,0.037429333
spread,0.0
